brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_gmall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_xentro,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
botejyu,0,14,0,1,0,3,1,6,58,0,0,0,83,6,False,True,BOTEJYU
levis,1,16,2,0,0,7,2,32,23,0,0,0,83,7,False,True,Levi's
red ribbon,0,3,1,2,3,0,0,19,47,2,4,2,83,9,False,True,RED RIBBON
turks shawarma,0,0,0,1,1,0,0,10,70,0,0,1,83,5,False,True,TURKS SHAWARMA
sm appliance,0,0,0,0,0,0,1,0,81,0,0,0,82,2,False,True,SM APPLIANCE CENTER
face shop,1,12,1,0,0,5,0,5,57,0,0,0,81,6,False,True,THE FACE SHOP
breadtalk,0,13,1,0,0,4,1,10,51,0,0,0,80,6,False,True,BREADTALK
unisilver,2,4,0,0,1,0,0,11,61,0,0,0,79,5,False,True,UNISILVER
starbucks coffee,0,0,2,0,0,0,0,0,77,0,0,0,79,2,False,True,STARBUCKS COFFEE
bavin,2,4,1,0,1,0,0,11,56,1,3,0,79,8,False,True,BAVIN
