brand_key,display_name,chain,mall_id,mall_name,region
siomai house empanada espesyal,SIOMAI HOUSE/EMPANADA ESPESYAL,xentro,xentro-mall-calapan,XentroMall Calapan,
siomai express,Siomai Express,robinsons,robinsons-tagum,Robinsons Place Tagum,mindanao
siomai district,SIOMAI DISTRICT,sm,sm-city-daet,SM City Daet,south-luzon
sio yummy,SIO-YUMMY,ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas
sio republic,SIO REPUBLIC,sm,sm-city-bataan,SM City Bataan,north-luzon
sio cha,Sio-Cha,megaworld,lucky-chinatown-imperial-wing,Lucky Chinatown - Imperial Wing,
sincerity,Sincerity,megaworld,lucky-chinatown-mall,Lucky Chinatown Mall,
simula ph,SIMULA PH,ayala,ayala-glorietta,Glorietta,metro-manila
simply fashion boutique asgar store,SIMPLY FASHION BOUTIQUE ASGAR STORE,xentro,montalban-town-center,Montalban Town Center,
simplicity crafts frames county,SIMPLICITY CRAFTS FRAMES COUNTY,sm,sm-city-santa-rosa,SM City Santa Rosa,south-luzon
simplicitea place,SIMPLICITEA PLACE,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
simple jump,SIMPLE JUMP,sm,sm-city-sorsogon,SM City Sorsogon,south-luzon
shui head spa,SHUI HEAD SPA,sm,sm-city-santa-rosa,SM City Santa Rosa,south-luzon
shou la mien hand pulled noodles,SHOU LA MIEN HAND-PULLED NOODLES,ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila
shopwise supermarket,Shopwise Supermarket,filinvest,festival-mall,Festival Mall,metro-manila
shakeys pizza,Shakey's Pizza,robinsons,robinsons-ormoc,Robinsons Place Ormoc,visayas
shawie nails spa,SHAWIE NAILS SPA,ayala,ayala-serin,Ayala Malls Serin,south-luzon
shawarma lover,Shawarma Lover,robinsons,robinsons-pavia,Robinsons Place Pavia,visayas
shawarma craze,SHAWARMA CRAZE,robinsons,robinsons-gapan,Robinsons Gapan,north-luzon
shawarma,SHAWARMA,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
sharmainescakes and patries,Sharmaines'Cakes and Patries,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
shark ninja,Shark Ninja,filinvest,festival-mall,Festival Mall,metro-manila
sharetea,Sharetea,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
shapes and sizes,SHAPES AND SIZES,ayala,ayala-market-market,Market! Market!,metro-manila
shanylle p h,Shanylle P.h,ortigas,greenhills,Greenhills,metro-manila
shanghai saloon,SHANGHAI SALOON,sm,the-podium,The Podium,metro-manila
shanghai express,Shanghai Express,megaworld,uptown-parade,Uptown Parade,
shandie,Shandie,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
shams,Shams,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
shama,SHAMA 0946-604-7577 (NEW),robinsons,robinsons-antique,Robinsons Place Antique,visayas
shakeys korn,SHAKEYS KORN,xentro,xentro-mall-lemery,XentroMall Lemery,
shearmahz,SHEARMAHZ,sm,sm-city-urdaneta-central,SM City Urdaneta Central,north-luzon
shakeys 505 5860,SHAKEY'S (032)505-5860,robinsons,robinsons-cybergate-cebu,Robinsons Cybergate Cebu,visayas
shaka cafes,SHAKA CAFES,sm,moa-square,MOA Square,metro-manila
shaka cafe,Shaka Cafe,megaworld,forbes-town,Forbes Town,
shadows & patterns,Shadows & Patterns,ortigas,estancia,Estancia,metro-manila
shaburi kintan,SHABURI KINTAN,ayala,ayala-glorietta,Glorietta,metro-manila
sha xian snack,Sha-Xian Snack,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,
sgt sisig,SGT. SISIG,xentro,sta-ana-public-market,Sta Ana Public Market,
sgroppino italia coffee shop,SGROPPINO ITALIA COFFEE SHOP,sm,sm-center-ormoc,SM Center Ormoc,visayas
sg urban empanada,SG Urban Empanada,robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon
sg dermatology and surgical aesthetic clinic,Sg Dermatology And Surgical Aesthetic Clinic,filinvest,festival-mall,Festival Mall,metro-manila
sg clinic,SG Clinic,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
sfx porcelain trading,SFX PORCELAIN TRADING,araneta,ali-mall,Ali Mall,metro-manila
sfdc ngipin station,Sfdc Ngipin Station,filinvest,festival-mall,Festival Mall,metro-manila
seyah collection,SEYAH COLLECTION,xentro,mall-of-the-valley,Mall Of The Valley,
shaxia snack house,Shaxia Snack House,megaworld,lucky-chinatown-prosperity-wing,Lucky Chinatown - Prosperity Wing,
shee bakes,SHEE BAKES,robinsons,robinsons-butuan,Robinsons Place Butuan,mindanao
shopwise international grocery,Shopwise International Grocery,araneta,gateway-mall-2,Gateway Mall 2,metro-manila
shiro,Shiro,gmall,gmall-of-davao,GMall of Davao,mindanao
shopwise,SHOPWISE,ayala,ayala-circuit,Ayala Malls Circuit,metro-manila
shopaholics galaxy burger,SHOPAHOLICS GALAXY BURGER,xentro,montalban-town-center,Montalban Town Center,
shomai heart,Shomai Heart,robinsons,robinsons-dasmarinas,Robinsons Place Dasmarinas,south-luzon
shokuji,Shokuji,ortigas,greenhills,Greenhills,metro-manila
shokudo,SHOKUDO,sm,sm-city-caloocan,SM City Caloocan,metro-manila
shoesalon,Shoesalon,filinvest,festival-mall,Festival Mall,metro-manila
shoefix master shoes and bags repair & key duplication,SHOEFIX MASTER SHOES AND BAGS REPAIR & KEY DUPLICATION,robinsons,robinsons-cainta,Robinsons Cainta,metro-manila
shoebox,SHOEBOX,robinsons,robinsons-starmills,Robinsons Starmills,north-luzon
shoe game,SHOE GAME,sm,s-maison,S Maison,metro-manila
shoe crew ph,SHOE CREW PH,sm,sm-cherry-shaw,SM Center Shaw,metro-manila
shizuru,SHIZURU,sm,sm-city-sto-tomas,SM City Sto. Tomas,south-luzon
shitako takoyaki and pita wrap express,SHITAKO TAKOYAKI AND PITA WRAP EXPRESS,ayala,ayala-harbor-point,Harbor Point,north-luzon
shirts & tee,Shirts & Tee,robinsons,robinsons-starmills,Robinsons Starmills,north-luzon
shirt circuit,SHIRT CIRCUIT,ayala,ayala-market-market,Market! Market!,metro-manila
shirley jewelry,Shirley Jewelry,gmall,gmall-of-tagum,GMall of Tagum,mindanao
sheeha money changer,Sheeha Money Changer,megaworld,forbes-town,Forbes Town,
shipshape,Shipshape,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,
shiotis,Shiotis,ortigas,greenhills,Greenhills,metro-manila
shinju massage clinic,SHINJU MASSAGE CLINIC,sm,sm-city-bacoor,SM City Bacoor,south-luzon
shing fang,SHING FANG,sm,sm-city-consolacion,SM City Consolacion,visayas
shine salon,Shine Salon,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
shine korean salon,Shine Korean Salon,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,
shimmian,SHIMMIAN,sm,sm-city-pampanga,SM City Pampanga,north-luzon
shielas fashion,SHIELA'S FASHION,robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon
shi takoyaki,SHI' TAKOYAKI,sm,sm-city-bataan,SM City Bataan,north-luzon
shi shi noodle house,SHI SHI NOODLE HOUSE,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
shi ki sai,Shi Ki Sai,megaworld,mactan-newtown,Mactan Newtown,
sherean fashion,Sherean Fashion,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
shell ev charging station,Shell EV Charging Station,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
sheenas sleek,SHEENA'S SLEEK,araneta,farmers-plaza,Farmers Plaza,metro-manila
mirrored his & hers studio,MIRRORED HIS & HERS STUDIO,sm,smdc-fame-mall,SMDC Fame Mall,smdc
lapids chicharon,LAPID'S CHICHARON,xentro,ab-central,Ab Central,
mirangcurl korea salon,MIRANGCURL KOREA SALON,ayala,ayala-malls-central-bloc,Ayala Malls Central Bloc,visayas
coffee dream,COFFEE DREAM,sm,sm-city-cebu,SM City Cebu,visayas
cobo tea beverages,COBO TEA BEVERAGES,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
cocktails md,Cocktails Md,filinvest,festival-mall,Festival Mall,metro-manila
coco circle,COCO CIRCLE,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
coco corner,COCO CORNER,sm,sm-city-olongapo-central,SM City Olongapo Central,north-luzon
coco life,COCO LIFE,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
cocolicious,COCOLICIOUS,robinsons,robinsons-valencia,Robinsons Place Valencia,mindanao
coconut club and family & friends,COCONUT CLUB AND FAMILY & FRIENDS,ayala,ayala-bonifacio-high-street,Bonifacio High Street,metro-manila
coffee & pine,COFFEE & PINE,sm,sm-city-baguio,SM City Baguio,north-luzon
coffee academics,THE COFFEE ACADEMICS 9209733716,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
coffee academics cafe,THE COFFEE ACADEMICS CAFE,sm,sm-megamall,SM Megamall,metro-manila
coffee and you coffee house,COFFEE AND YOU COFFEE HOUSE,sm,sm-city-clark,SM City Clark,north-luzon
coffee bay,COFFEE BAY,sm,sm-seaside-city-cebu,SM Seaside City Cebu,visayas
coffee bean,Coffee Bean,gmall,gmall-of-davao,GMall of Davao,mindanao
coffee break elite,Coffee Break Elite,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,
coffee break premier,Coffee Break Premier,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,
coach,COACH,ayala,ayala-greenbelt,Greenbelt,metro-manila
co limited,CO LIMITED,sm,sm-seaside-city-cebu,SM Seaside City Cebu,visayas
cnyna house of fashion,Cnyna House of Fashion,gmall,gmall-of-davao,GMall of Davao,mindanao
cloudfone,Cloudfone,gmall,gmall-of-davao,GMall of Davao,mindanao
clinica comfy dental,CLINICA COMFY DENTAL,ayala,ayala-solenad,Ayala Malls Nuvali,south-luzon
clinica esthetica,Clinica Esthetica 0917-8557566,robinsons,robinsons-sta-rosa,Robinsons Sta. Rosa,south-luzon
clipper,Clipper,gmall,gmall-of-davao,GMall of Davao,mindanao
clothes by jah,CLOTHES BY JAH,ayala,ayala-harbor-point,Harbor Point,north-luzon
clothes of joy,CLOTHES OF JOY,xentro,balagtas-town-center,Balagtas Town Center,
cloud eats,Cloud Eats,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,
cloudys chicken hub,CLOUDYS CHICKEN HUB,sm,sm-city-cauayan,SM City Cauayan,north-luzon
cna sjd beauty shop,CNA-SJD BEAUTY SHOP,starmall,san-jose-del-monte,Starmall San Jose del Monte,north-luzon
clt cafe,CLT CAFE,robinsons,robinsons-gapan,Robinsons Gapan,north-luzon
club lux,Club Lux,megaworld,mactan-newtown,Mactan Newtown,
clydes bread and pastries,CLYDE'S BREAD AND PASTRIES,robinsons,robinsons-metro-east,Robinsons Metro East,metro-manila
clydes breads,Clyde's Breads,megaworld,lucky-chinatown-mall,Lucky Chinatown Mall,
cma cgm philippines inc,CMA CGM PHILIPPINES INC,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
cmendoza food services,CMENDOZA FOOD SERVICES,xentro,ab-central,Ab Central,
coffee but better,COFFEE BUT BETTER,sm,sm-cherry-antipolo,SM Center Antipolo Downtown,metro-manila
coffee for peace,COFFEE FOR PEACE,ayala,ayala-abreeza,Abreeza,mindanao
daily tech,DAILY TECH,waltermart,north-edsa,WalterMart North EDSA,metro-manila
coffee guys coffee shop,COFFEE GUYS COFFEE SHOP,sm,sm-city-bacolod,SM City Bacolod,visayas
colourette,COLOURETTE,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
colours,Colours,gmall,gmall-of-davao,GMall of Davao,mindanao
combo de luxe,COMBO DE LUXE,robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon
comic oddysey,Comic Oddysey,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
commatics,Commatics,filinvest,festival-mall,Festival Mall,metro-manila
comme des garcons,COMME DES GARCONS,ayala,ayala-greenbelt,Greenbelt,metro-manila
common room,COMMON ROOM,ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila
communicare therapy center,COMMUNICARE THERAPY CENTER,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
complex lifestyle,COMPLEX LIFESTYLE,robinsons,robinsons-gentrias,Robinsons Place Gen. Trias,south-luzon
comprehensive dermatology center,Comprehensive Dermatology Center,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
computer kingdom,Computer Kingdom,gmall,gmall-of-tagum,GMall of Tagum,mindanao
comworks inc,Comworks Inc.,waltermart,makati,WalterMart Makati,metro-manila
comworks multibrand,Comworks-Multibrand,fishermall,quezonave,Fisher Mall Quezon Avenue,metro-manila
comworld,Comworld,gmall,gmall-of-davao,GMall of Davao,mindanao
concentrix hub,CONCENTRIX HUB,robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila
colorado photo,COLORADO PHOTO,sm,sm-city-pampanga,SM City Pampanga,north-luzon
color my hair,COLOR MY HAIR,sm,sm-megamall,SM Megamall,metro-manila
color me mine,Color Me Mine,megaworld,uptown-mall,Uptown Mall,
cold cups,Cold Cups,robinsons,robinsons-jaro,Robinsons Place Jaro,visayas
coffee lounge,THE COFFEE LOUNGE,sm,sm-city-rosales,SM City Rosales,north-luzon
coffee shop,The Coffee Shop,ortigas,estancia,Estancia,metro-manila
coffee spot,Coffee Spot,robinsons,robinsons-valencia,Robinsons Place Valencia,mindanao
coffeebreak nxt,Coffeebreak NXT,robinsons,robinsons-pavia,Robinsons Place Pavia,visayas
coi,COI,robinsons,robinsons-cybergate-cebu,Robinsons Cybergate Cebu,visayas
col financial philippines davao,Col Financial Philippines Davao,robinsons,robinsons-cybergate-davao,Robinsons Cybergate Davao,mindanao
cold layers,Cold Layers,fishermall,quezonave,Fisher Mall Quezon Avenue,metro-manila
colonial creamery,COLONIAL CREAMERY,sm,sm-city-naga,SM City Naga,south-luzon
cold plate rolled ice cream,COLD PLATE ROLLED ICE CREAM,sm,sm-city-puerto-princesa,SM City Puerto Princesa,south-luzon
cold zone,COLD ZONE,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
coldee coffee,Coldee Coffee,filinvest,main-square,Main Square,south-luzon
cole haan grandshop,COLE HAAN GRANDSHOP,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
collage,COLLAGE,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
collective base,Collective Base,ortigas,greenhills,Greenhills,metro-manila
clinic for dental concerns,Clinic For Dental Concerns,robinsons,robinsons-dumaguete,Robinsons Place Dumaguete,visayas
clickstore,CLICKSTORE,fishermall,malabon,Fisher Mall Malabon,metro-manila
clicks n clocks,CLICKS N CLOCKS,xentro,mall-of-the-valley,Mall Of The Valley,
click & prints,Click & Prints,robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon
cindys bakeshop,CINDY'S BAKESHOP,xentro,ilagan-city-mall-isabela,Ilagan City Mall Isabela,
cinema lotto outlet,Cinema LOTTO OUTLET,xentro,xentro-mall-calapan,XentroMall Calapan,
cinema mc donalds dessert kiosk,CINEMA MC DONALDS DESSERT KIOSK,xentro,xentro-mall-lemery,XentroMall Lemery,
cinema snack bar,Cinema Snack Bar,gmall,gmall-of-davao,GMall of Davao,mindanao
cinnun apparel,CINNUN APPAREL,xentro,ilagan-city-mall-isabela,Ilagan City Mall Isabela,
circus circus,CIRCUS CIRCUS,xentro,northstar-mall,Northstar Mall,
cisco systems management b v,CISCO SYSTEMS MANAGEMENT B V,sm,sm-aura,SM Aura,metro-manila
citi bites pizza & pasta,Citi Bites Pizza & Pasta,robinsons,robinsons-la-union,Robinsons Place La Union,north-luzon
